Well_ID,Downtime,Freq,Current,Vibration,Intake_Press,Motor_Temp,Gas_Sat,Delta_Press,Pwr_Diff,Liq_Intake
2.0,333.1510533,901.6774038,152.4004227,59.49186315,0.0,1093.468024,591.2343925,0.743084838,184.0154327,345
0.0,298.5881124,1035.731632,188.1549763,57.89233016,0.0,1263.856565,591.2343925,0.713161829,173.4298548,345
0.0,223.2436227,917.5643234,188.5768985,56.0,0.0,1190.73336,591.2343925,0.757382864,138.4396243,345
0.0,206.5234028,912.6950883,187.6742155,56.0,0.0,1295.72454,591.2343925,0.731900309,130.5936488,345
0.0,201.5545949,907.9963733,187.3333089,56.0,0.0,1243.849858,591.2343925,0.750467389,129.925429,345
0.0,205.1660995,906.5410953,187.5121861,56.0,0.0,1177.770493,591.2343925,0.752339688,128.9335622,345
0.0,202.6390162,905.944152,187.3780914,56.0,0.0,1295.204934,591.2343925,0.718418716,126.149416,345
0.0,213.2364468,907.9045023,187.9954285,56.0,0.0,1305.425858,591.2343925,0.724386911,132.0056237,345
0.0,221.2356597,907.8305855,188.4005383,56.0,0.0,1256.926467,591.2343925,0.734278005,135.1786801,345
0.0,211.6336111,905.7462087,187.8412989,56.0,0.0,1243.938494,591.2343925,0.730706556,130.0068517,345
0.0,214.2462847,905.0539421,187.9851509,56.0,0.0,1249.6134,591.2343925,0.735461234,132.1317578,345
0.0,216.1776389,904.1534429,188.0719146,56.0,0.0,1244.302628,591.2343925,0.735944953,132.7505762,345
0.0,207.6289468,903.3386283,187.602153,56.0,0.0,1228.444019,591.2343925,0.740828061,129.5208543,345
0.0,203.3430556,903.3265583,187.4295869,56.0,0.0,1216.398464,591.2343925,0.741490458,127.4128465,345
0.0,201.0687562,904.1536606,187.3103777,56.0,0.0,1246.915394,591.2343925,0.734324959,126.4587703,345
0.0,206.6222883,910.8097605,187.6764275,55.99698968,0.0,1194.968137,591.2343925,0.752993554,130.6149156,345
0.0,211.7919076,910.0421944,187.8991209,56.0,0.0,1217.647667,591.2343925,0.744183794,131.8388028,345
6.0,238.829914,916.5541948,189.5711812,55.97991901,0.0,906.4081316,591.2343925,0.722346449,127.3944157,345
0.0,204.1753009,912.9451095,187.3299749,56.0,0.0,1150.596324,591.2343925,0.762192028,129.7737543,345
0.0,202.4989005,903.9844884,187.2537004,56.0,0.0,1298.327686,591.2343925,0.763582912,135.4860938,345
4.0,210.1622173,905.9935537,187.6756769,55.99840169,0.0,975.7903489,591.2343925,0.77805879,127.1778323,345
0.0,198.3417361,901.7779943,187.0705331,56.0,0.0,1188.688253,591.2343925,0.727040306,121.8044745,345
0.0,193.9799884,896.8510767,186.8980878,56.0,0.0,1185.355134,591.2343925,0.755204538,124.7956431,345
0.0,209.7093457,904.3887719,187.8951483,55.99711111,0.0,1157.881423,591.2343925,0.753184495,129.9597588,345
0.0,210.0829282,900.0443926,187.6841885,56.0,0.0,1162.297808,591.2343925,0.724220591,125.0106299,345
0.0,210.4723148,897.9937193,187.7046493,56.0,0.0,1163.341696,591.2343925,0.725273806,125.3278231,345
0.0,199.5619329,893.4083667,187.1442948,56.0,0.0,1153.169454,591.2343925,0.73224187,121.3784868,345
0.0,197.277419,894.6516197,187.0177373,56.0,0.0,1133.94591,591.2343925,0.733245955,119.9731012,345
0.0,197.6044676,893.1464734,187.0117583,56.0,0.0,1139.312948,591.2343925,0.725194233,118.9621101,345
0.0,199.4822106,892.8254235,187.1086063,56.0,0.0,1173.875635,591.2343925,0.712429435,119.0209642,345
4.0,217.3706154,903.9423335,188.7447152,55.99665318,0.0,990.5946708,591.2343925,0.719312758,121.0655792,345
0.0,221.441169,897.5695848,188.2187303,56.0,0.0,1083.591162,591.2343925,0.747983984,130.3263165,345
0.0,218.6823727,895.7314977,188.0389458,56.0,0.0,1077.907984,591.2343925,0.746063652,128.5985458,345
4.0,217.0630026,908.1976235,189.4878363,55.99963005,0.0,894.5547722,591.2343925,0.745792828,121.0417213,345
0.0,192.4900231,894.9644462,186.7100037,56.0,0.0,1160.189639,591.2343925,0.719139271,116.7309556,345
0.0,193.8150231,891.1403655,186.7705953,56.0,0.0,1061.850235,591.2343925,0.735954096,116.001174,345
0.0,193.3602894,889.3390188,186.727389,56.0,0.0,1043.481683,591.2343925,0.74264396,116.1047854,345
0.0,202.925706,893.8072652,187.2357906,56.0,0.0,1064.21385,591.2343925,0.737380114,120.1281603,345
0.0,207.6054745,891.1360664,187.4607191,56.0,0.0,1111.288364,591.2343925,0.714710443,120.3541019,345
0.0,205.1772338,889.763125,187.3284794,56.0,0.0,1090.444892,591.2343925,0.72420693,119.8854935,345
0.0,198.7368981,887.4154228,186.996536,56.0,0.0,1066.491502,591.2343925,0.731136941,117.3074878,345
0.0,198.6459144,885.9348231,186.9785224,56.0,0.0,1073.480481,591.2343925,0.728533001,117.115681,345
